the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng
0101000020E6100000246397AF8DCA52C0AA8C58A131FA4340,0101000020110F0000A3DCA98935EB5FC1E4CF473476895241,323,172081,Nw 15th/Arch (No Unit at this Location),no,39.9546395952578,-75.16489782127297
0101000020E61000009CF2B1D3F9CA52C0A472E53AFBFA4340,0101000020110F00005749E639EDEB5FC14DD08193558A5241,324,172088,NE 20th/Callohill,yes,39.960791933093134,-75.17149822595314
0101000020E6100000DD5F3C8B3AC952C0D59FE0A751F84340,0101000020110F0000CC958D78F5E85FC19EB48B7962875241,325,172100,Se Front/Bainbridge,no,39.93999193637834,-75.1441982354731
0101000020E61000008B15809809CB52C08926F0FE8FFA4340,0101000020110F0000ECC6D10208EC5FC183F62DC2DE895241,326,172103,Nw 20th/Race,yes,39.957519404660225,-75.17246067531794
0101000020E61000002BFC71735CCB52C079BD342194F94340,0101000020110F0000406BBEBF94EC5FC17D1644B5C7885241,327,172104,Ne 22nd/Locust,yes,39.94983306002809,-75.17751775866843
0101000020E610000061A5347584CA52C027256A845BF94340,0101000020110F000090E6E9DC25EB5FC166A159FD88885241,1,171237,Se Broad/Locust,yes,39.94810538466327,-75.16433458462917
0101000020E6100000FDB31A2291CA52C0F3E6D067E7F84340,0101000020110F00001E59B3643BEB5FC12081105C08885241,2,171610,Se Broad/Lombard,yes,39.94456193638134,-75.16510822875712
0101000020E6100000911E74E295CA52C0E54631F1EEF84340,0101000020110F0000DFCFCA7643EB5FC14C7B66B510885241,3,171611,Nw Broad/Lombard,yes,39.94479193597889,-75.16539822902475
0101000020E61000001B4724A799CA52C041080BDDCCF84340,0101000020110F0000017E69DD49EB5FC1DFFDF7F4EA875241,4,171612,Nw Broad/South,yes,39.94375193632778,-75.16562822859525
0101000020E610000026917D6B7FCA52C043703C40B8F94340,0101000020110F000086E4334E1DEB5FC19266D9B9EF885241,5,171613,Nw Broad/Chestnut,yes,39.95093539191341,-75.16402709257508
0101000020E61000000E89B70B9DCA52C0731AE4C8AAF84340,0101000020110F0000C745C6A04FEB5FC1D959AE34C5875241,6,171614,Sw Broad/Bainbridge,yes,39.942711936358045,-75.16583531306625
0101000020E61000009F0E3AC8D5CA52C0337E6A264DFB4340,0101000020110F00005CB61D00B0EB5FC1A8A25B59B08A5241,7,171615,Se 19th/Spring Garden,yes,39.96329193305828,-75.16929822606697
0101000020E6100000202659A876CA52C06A7DCA6BCCF94340,0101000020110F000095F6FF6B0EEB5FC1DCD5821206895241,8,171616,Se Broad/Penn,no,39.95155093562319,-75.1634922857852
0101000020E61000003BD9123CA8CA52C03B4FC5FB51F84340,0101000020110F0000322E2CA262EB5FC125A579D662875241,9,171617,Sw Broad/Christian,yes,39.940001937239195,-75.16651822891883
0101000020E61000006701FAF584CA52C05D58E94187F94340,0101000020110F000086E1A4B726EB5FC189558572B9885241,10,171618,Nw Broad/Walnut,yes,39.94944023031051,-75.16436528601263
0101000020E61000005DCFF5718DCA52C0E83E701139F94340,0101000020110F00002A0FFA2035EB5FC1F92566D362885241,11,171619,Nw Broad/Spruce,yes,39.94705408077954,-75.1648831272591
0101000020E6100000D32DC83B8FCA52C0B31D466105F94340,0101000020110F0000AD13A22A38EB5FC14B98A79029885241,12,171620,Se Broad/Pine,yes,39.945476683842024,-75.16499228047114
0101000020E6100000D2EDC9003DCA52C08C36394ADAF94340,0101000020110F0000F323677DACEA5FC13C86097015895241,13,171621,Nw 12th/Market,no,39.95197418016059,-75.15997333259227
0101000020E6100000CFF09D5DBDCA52C0FF98897647FB4340,0101000020110F0000F386D38686EB5FC165941E0CAA8A5241,14,171622,Se 18th/Spring Garden,yes,39.96311837881694,-75.16780796455281
0101000020E610000038B54A126ECA52C0CCBFFE173DFB4340,0101000020110F0000403E61D6FFEA5FC1DA3CAB8E9E8A5241,15,171623,Ne 15th/ Spring Garden,yes,39.96280193270613,-75.16296822829906
0101000020E610000029D359AEA1CA52C06D60E9B44EF84340,0101000020110F00001944648057EB5FC1BC5C43355F875241,16,171624,Se Broad/Christian,yes,39.93990193744035,-75.16611822864492
0101000020E6100000D04AFD58ABCA52C089F7AF7935F84340,0101000020110F0000C572D0EB67EB5FC184A65D4243875241,17,171625,Nw Broad/Carpenter,yes,39.93913193790565,-75.16670822845049
0101000020E6100000A9A87CAB98CA52C009BC5979A9F84340,0101000020110F00001B7EF33148EB5FC1581EFCC0C3875241,18,171626,Se Broad/Bainbridge,yes,39.94267193681305,-75.16556822942461
0101000020E6100000E31B1E56A2CA52C09E26F80A40FB4340,0101000020110F0000943F5C9D58EB5FC1C4A73DD3A18A5241,19,171627,Sw 17th/ Spring Garden,yes,39.96289193264714,-75.16615822735143
0101000020E610000078E5E53F82CA52C0387288519FF94340,0101000020110F0000A08AAE1C22EB5FC1BFE4921AD4885241,20,171628,Nw Broad/Sansom,yes,39.950174514412026,-75.16419980479066
0101000020E6100000A7106F3FBCC952C082430974B9F94340,0101000020110F00007B8439C9D1E95FC10D6ADB0EF1885241,21,171629,Nw 7th/ Market,yes,39.95097208454446,-75.15211473318287
0101000020E6100000233517F3A8CA52C0CC6E8AC614FA4340,0101000020110F00007DA00BD963EB5FC1B0BA243C56895241,22,171640,"16th & JFK, NE",no,39.95375901946463,-75.16656186357845
0101000020E6100000DFF5AE5BEECA52C04CD5FFFA56FB4340,0101000020110F000062CDC9BED9EB5FC13F50F53DBB8A5241,23,171641,Sw 20th/Spring Garden,yes,39.96359193317275,-75.1707982262228
0101000020E6100000877BA06495CA52C07EC16FFBC5F84340,0101000020110F0000F81A10A142EB5FC1C4EF8355E3875241,24,171642,Se Broad/South,yes,39.943541936462665,-75.16536822960016
0101000020E6100000013FCB56BAC952C097B2D38CB3F94340,0101000020110F0000A979388BCEE95FC168ED9B84EA885241,25,171643,Se 7th/Market,yes,39.9507919343643,-75.15199823234799
0101000020E6100000CD169CCFA3CA52C0AA8766CD6FF84340,0101000020110F00000795911E5BEB5FC1605A61DE83875241,26,171644,Nw Broad/Catharine,yes,39.940911936820456,-75.1662482284839
0101000020E6100000299D4CB18DCA52C0F237CB9312FA4340,0101000020110F00000A89908C35EB5FC13A6FA8CC53895241,133,171828,Sw 15th/JFK Boulevard,yes,39.95369193480282,-75.16489822847201
0101000020E61000007C39528766CA52C07D4CF144DFF94340,0101000020110F000016926E06F3EA5FC11C1C4EF41A895241,134,171829,Ne Juniper/Market (Macy's),no,39.952126138517066,-75.16250784902326
0101000020E61000004E46550820CA52C0488B2BAF50FA4340,0101000020110F00000B7ECE477BEA5FC1F19D539C98895241,135,171830,Race/ Marvine,no,39.95558728815246,-75.15820511176682
0101000020E610000088C573E295CA52C0794630CFF1F94340,0101000020110F0000A338CA7643EB5FC1962EB97E2F895241,136,171831,Nw 15th/Market,yes,39.95269193513099,-75.16539822870084
0101000020E6100000139D1FBA28CA52C0B3A892169EF94340,0101000020110F00007B1A890C8AEA5FC1DE34A3BDD2885241,137,171832,Sw 11th/Chestnut,yes,39.95013696824153,-75.15873578154815
0101000020E6100000009E8441BEC952C0672AC04A87F94340,0101000020110F000084CA7232D5E95FC1A53A507CB9885241,138,171833,Ne 7th/Chestnut,yes,39.9494412840184,-75.15223730040452
0101000020E61000005DC925AA3FCA52C0EC686385A3F94340,0101000020110F0000B268C202B1EA5FC199EA7CC2D8885241,139,171834,Se 12th/Chestnut,yes,39.950302766361204,-75.16013578119369
0101000020E6100000CBC23FB7D8C952C04747F63F8AF94340,0101000020110F000091EB4F2402EA5FC12B4C33C3BC885241,140,171835,Se 8th/Chestnut,yes,39.94953155064882,-75.15385228373195
0101000020E6100000E9450428C1C952C0B6F2A8DF83F94340,0101000020110F0000CD36A81FDAE95FC12B65D5B2B5885241,141,171836,Sw 7th/Chestnut,yes,39.94933696507853,-75.15241432587904
0101000020E6100000C0744952F5C952C052DA39C892F94340,0101000020110F0000809A3ABB32EA5FC1E0C31237C6885241,142,171837,Sw 9th/Chestnut,yes,39.949791935203976,-75.15559823201602
